transaction_date,transaction_year,ticker,asset_description,type,amount_low,amount_high,amount_avg,representative,district,state,cap_gains_over_200_usd,industry,sector,party,ticker_price,qqq_price
7/8/22,2022,NVDA,NVIDIA Corporation,purchase,1001,15000,8001,Pete Sessions,TX17,TX,FALSE,Semiconductors,Technology,Republican,158.38,295.350006
6/28/22,2022,CRM,Salesforce Inc,purchase,1001,15000,8001,John Curtis,UT03,UT,FALSE,Computer Software: Prepackaged Software,Technology,Republican,171.46,283.540009
6/17/22,2022,NVDA,NVIDIA Corporation - Excercised 200 CALL options (20K shares) @ $100 expiry 06/17/22,purchase,1000001,5000000,3000001,Nancy Pelosi,CA12,CA,FALSE,Semiconductors,Technology,Democrat,158.8,274.690002
6/14/22,2022,CTXS,Citrix Systems Cloud computing,purchase,1001,15000,8001,Diana Harshbarger,TN01,TN,FALSE,Computer Software: Prepackaged Software,Technology,Republican,92.41,275.910004
6/13/22,2022,SQ,Block Inc Class A Common Stock,purchase,1001,15000,8001,James R. Langevin,RI02,RI,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,62.76,275.410004
6/13/22,2022,FB,Meta Platforms Inc Class A,purchase,1001,15000,8001,James R. Langevin,RI02,RI,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat,62.76,275.410004
6/10/22,2022,IBM,International Business Machines Corporation,purchase,1001,15000,8001,Lloyd Doggett,TX35,TX,FALSE,Computer Manufacturing,Technology,Democrat,136.19,288.839996
6/10/22,2022,INTC,Intel Corporation,purchase,1001,15000,8001,Marjorie Taylor Greene,GA14,GA,FALSE,Semiconductors,Technology,Republican,136.19,288.839996
6/9/22,2022,SQ,Block Inc Class A Common Stock,purchase,50001,100000,75001,James R. Langevin,RI02,RI,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,76.58,299.399994
6/9/22,2022,MSFT,Microsoft Corporation,purchase,1001,15000,8001,Kevin Hern,OK01,OK,FALSE,Computer Software: Prepackaged Software,Technology,Republican,76.58,299.399994
6/8/22,2022,ORCL,Oracle Corp,purchase,1001,15000,8001,Diana Harshbarger,TN01,TN,FALSE,Computer Software: Prepackaged Software,Technology,Republican,71.38,307.640015
6/8/22,2022,ORCL,Oracle Corp,purchase,1001,15000,8001,Diana Harshbarger,TN01,TN,FALSE,Computer Software: Prepackaged Software,Technology,Republican,71.38,307.640015
6/7/22,2022,ORCL,Oracle Corp,purchase,1001,15000,8001,Diana Harshbarger,TN01,TN,FALSE,Computer Software: Prepackaged Software,Technology,Republican,72.69,309.869995
6/6/22,2022,NTAP,NetApp Inc,purchase,15001,50000,32501,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,70.87,307.220001
6/6/22,2022,NTAP,NetApp Inc,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,70.87,307.220001
6/6/22,2022,NTAP,NetApp Inc,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,70.87,307.220001
6/3/22,2022,FB,Meta Platforms Inc Class A,purchase,1001,15000,8001,James R. Langevin,RI02,RI,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat,190.78,306.200012
6/3/22,2022,SHOP,Shopify Inc,purchase,250001,500000,375001,Michael F. Q. San Nicolas,GU00,GU,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,190.78,306.200012
6/3/22,2022,SHOP,Shopify Inc,purchase,250001,500000,375001,Michael F. Q. San Nicolas,GU00,GU,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,190.78,306.200012
6/1/22,2022,FB,Meta Platforms Inc Class A,purchase,1001,15000,8001,James R. Langevin,RI02,RI,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat,188.64,306
6/1/22,2022,INTC,Intel Corporation,purchase,1001,15000,8001,Kevin Hern,OK01,OK,FALSE,Semiconductors,Technology,Republican,188.64,306
5/27/22,2022,NVDA,NVIDIA Corporation,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Semiconductors,Technology,Democrat,188.11,309.100006
5/27/22,2022,ASML,ASML Holding NV New York Registry Shares,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,Industrial Machinery/Components,Technology,Democrat,188.11,309.100006
5/27/22,2022,NOW,ServiceNow Inc,purchase,15001,50000,32501,Kathy Manning,NC06,NC,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,188.11,309.100006
5/26/22,2022,IBM,International Business Machines Corporation,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Manufacturing,Technology,Democrat,136.89,299.329987
5/24/22,2022,AAPL,Apple Inc - 50 Call options strike of $80 expires 6/16/23,purchase,250001,500000,375001,Nancy Pelosi,CA12,CA,FALSE,Computer Manufacturing,Technology,Democrat,140.36,287.23999
5/24/22,2022,MSFT,Microsoft Corporation - 10 Call options strike of $180 expires 6/16/23,purchase,50001,100000,75001,Nancy Pelosi,CA12,CA,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,140.36,287.23999
5/24/22,2022,MSFT,Microsoft Corporation - 40 Call options strike of $180 expires 6/16/23,purchase,250001,500000,375001,Nancy Pelosi,CA12,CA,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,140.36,287.23999
5/17/22,2022,TXN,Texas Instruments Incorporated,purchase,1001,15000,8001,Kevin Hern,OK01,OK,FALSE,Semiconductors,Technology,Republican,174.98,306.170013
5/13/22,2022,AAPL,Apple Inc - 100 Call options strike of $80 expires 3/17/23,purchase,500001,1000000,750001,Nancy Pelosi,CA12,CA,FALSE,Computer Manufacturing,Technology,Democrat,147.09,301.940002
5/11/22,2022,AAPL,Apple Inc,purchase,1001,15000,8001,Bob Gibbs,OH07,OH,FALSE,Computer Manufacturing,Technology,Republican,146.5,291.839996
5/11/22,2022,SQ,Block Inc - Class A Common Stock,purchase,15001,50000,32501,James R. Langevin,RI02,RI,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,146.5,291.839996
4/29/22,2022,ASML,ASML Holding NV - New York Registry Shares,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,Industrial Machinery/Components,Technology,Democrat,563.77,313.25
4/27/22,2022,CTSH,Cognizant Technology Solutions Corporation - Class A,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,EDP Services,Technology,Democrat,82.84,316.76001
4/27/22,2022,FB,Meta Platforms Inc -  Class A,purchase,1001,15000,8001,James R. Langevin,RI02,RI,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat,82.84,316.76001
4/27/22,2022,FB,Meta Platforms Inc -  Class A,purchase,1001,15000,8001,James R. Langevin,RI02,RI,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat,82.84,316.76001
4/27/22,2022,NOW,ServiceNow Inc,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,82.84,316.76001
4/19/22,2022,AAPL,Apple Inc,purchase,15001,50000,32501,Josh Gottheimer,NJ05,NJ,FALSE,Computer Manufacturing,Technology,Democrat,167.4,346.26001
4/19/22,2022,CRNC,Cerence Inc,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,EDP Services,Technology,Democrat,167.4,346.26001
4/19/22,2022,INTU,Intuit Inc,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,167.4,346.26001
4/13/22,2022,TWKS,Thoughtworks Holding Inc,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,EDP Services,Technology,Democrat,20.54,346.350006
4/6/22,2022,NXPI,NXP Semiconductors NV,purchase,1001,15000,8001,Lois Frankel,FL21,FL,FALSE,Semiconductors,Technology,Democrat,173.96,353.26001
4/6/22,2022,SQ,Block Inc Class A Common Stock,purchase,1001,15000,8001,James R. Langevin,RI02,RI,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,173.96,353.26001
